1741478050485	Sync.SyncScheduler	DEBUG	Next sync in 600000 ms. (why=schedule)
1741478051690	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478051690	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478051697	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478051697	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478051697	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478051697	Sync.Collection	DEBUG	POST Length: 2499
1741478051920	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478051932	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478053526	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478057179	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478058699	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478058699	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478058705	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478058706	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478058706	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478058706	Sync.Collection	DEBUG	POST Length: 2499
1741478058935	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478058947	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478065272	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478070596	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478070596	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478070601	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478070601	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478070601	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478070602	Sync.Collection	DEBUG	POST Length: 2499
1741478070828	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478070840	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478072474	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478077489	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478077489	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478077497	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478077499	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478077499	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478077500	Sync.Collection	DEBUG	POST Length: 2499
1741478077731	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478077743	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478079341	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478084354	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478084354	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478084362	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478084364	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478084365	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478084366	Sync.Collection	DEBUG	POST Length: 2499
